0xd4b88df4d29f5cedd6857912842cff3b20c8cfa3,DAI,100,dai100
0xfd8610d20aa15b7b2e3be39b396a1bc3516c7144,DAI,1000,dai1k
0x07687e702b410fa43f4cb4af7fa097918ffd2730,DAI,10000,dai10k
0x23773e65ed146a459791799d01336db287f25334,DAI,100000,dai100k
0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,ETH,0.1,eth01
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,ETH,1,eth1
0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,ETH,10,eth10
0xa160cdab225685da1d56aa342ad8841c3b53f291,ETH,100,eth100
0xd96f2b1c14db8458374d9aca76e26c3d18364307,USDC,100,usdc100
0x4736dcf1b7a3d580672cce6e7c65cd5cc9cfba9d,USDC,1000,usdc1k
0x169ad27a470d064dede56a2d3ff727986b15d52b,USDT,100,usdt100
0x0836222f2b2b24a3f36f98668ed8f0b38d1a872f,USDT,1000,usdt1k
0x178169b423a011fff22b9e3f3abea13414ddd0f1,WBTC,0.1,wbct01
0x610b717796ad172b316836ac95a2ffad065ceab4,WBTC,1,wbtc1
0xbb93e510bbcd0b7beb5a853875f9ec60275cf498,WBTC,10,wbtc10
0x22aaa7720ddd5388a3c0a3333430953c68f1849b,cDAI,5000,cdai5k
0x03893a7c7463ae47d46bc7f091665f1893656003,cDAI,50000,cdai50k
0x2717c5e28cf931547b621a5dddb772ab6a35b701,cDAI,500000,cdai500k
0xd21be7248e0197ee08e0c20d4a96debdac3d20af,cDAI,5000000,cdai5m
